Return_Yr,SPECIES,Run,TagDate,TagReach,Tag1,Tag2,Sample_Category,CarcassCategory,Sex,FL,Mark,SnoutID,ScaleCard,SampleRate,ScaleAge,CarcassCondition,GillColor,SpawnSuccess,CWT_Code,CWT_Status_Code,DNA_Sample_Code,Comments,RecapDate,RecapTag1,RecapTag2,RecapReach,Brood_Yr,CWT_Species,CWT_Run,Agency_Name,RearingLocName,ReleaseSiteName,Mark_Short_Desc,StockName,First_Release_Date_Txt,Last_Release_Date_Txt,Tagged_Cnt
2022,Chinook salmon,Fall,27-Sep-22,NFL 4,6564a,6564b,blank,,Male,61,AD,,04931-6564,1,88,D-,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Fall,27-Sep-22,NFL 4,6565a,6565b,blank,,Male,72,AD,,04931-6565,1,31,D,,,,,,,05-Oct-22,6565a,6565b,NFL 4,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 4,6566a,6566b,blank,,Male,75,AD,,04931-6566,1,88,D,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Fall,27-Sep-22,NFL 4,6567a,6567b,blank,,Male,98,AD,,04931-6567,1,41,D,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Fall,27-Sep-22,NFL 4,6568a,6568b,blank,,Female,80,AD,,04931-6568,1,41,D,,,,,,,11-Oct-22,6568a,6568b,NFL 4,,,,,,,,,,,
2022,Chinook salmon,Fall,27-Sep-22,NFL 4,6569a,6569b,blank,,Female,67,UM,,04931-6569,1,31,D,,,,,22LP019,,11-Oct-22,6569a,6569b,NFL 4,,,,,,,,,,,
2022,Chinook salmon,Fall,27-Sep-22,NFL 4,6570a,6570b,blank,,Female,82,AD,,04931-6570,1,41,D,,,,,,,11-Oct-22,6570a,6570b,NFL 4,,,,,,,,,,,
2022,Chinook salmon,Fall,05-Oct-22,NFL 1,,,2,4,,,AD,,04830-1,1,,D+,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Fall,05-Oct-22,NFL 1,,,2,4,,,AD,,04830-2,1,,D+,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Fall,05-Oct-22,NFL 1,,,2,4,,,AD,,04830-3,1,,D+,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Fall,05-Oct-22,NFL 1,,,2,4,,,AD,,04830-4,1,,D+,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,05-Oct-22,NFL 1,6695a,6695b,blank,,Male,74,AD,,05583-6695,1,42,D-,,,,,,,12-Oct-22,6695a,6695b,NFL 2,,,,,,,,,,,
2022,Chinook salmon,Fall,05-Oct-22,NFL 1,6696a,6696b,blank,,Male,94,AD,,05583-6696,1,88,D,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Fall,05-Oct-22,NFL 1,6697a,6697b,blank,,Male,72,AD,,05583-6697,1,31,D,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Fall,05-Oct-22,NFL 1,6698a,6698b,blank,,Female,76,UM,,05583-6698,1,41,F,,,,,22LP058,,12-Oct-22,6698a,6698b,NFL 2,,,,,,,,,,,
2022,Chinook salmon,Fall,05-Oct-22,NFL 1,6699a,6699b,blank,,Female,81,AD,,05583-6699,1,51,D,,,,,,,12-Oct-22,6699a,6699b,NFL 1,,,,,,,,,,,
2022,Chinook salmon,Spring,05-Oct-22,NFL 1,6700a,6700b,blank,,Female,70,AD,,05583-6700,1,31,D,,,,,,,12-Oct-22,6700a,6700b,NFL 2,,,,,,,,,,,
2022,Chinook salmon,Fall,05-Oct-22,NFL 1,6701a,6701b,blank,,Female,79,AD,,05583-6701,1,41,D,,,,,,,19-Oct-22,6701a,6701b,NFL 1,,,,,,,,,,,
